sasdate,^GSPC,^HSCE,^HSI,^KS200,^N225,^STOXX50E
1998-05-26,1094.02002,2429.840088,9482.209961,36.02999878,15884.82031,0
1998-05-27,1092.22998,2317.459961,8983.429688,36.22000122,15664.29004,0
1998-05-28,1097.599976,2220.97998,8877.94043,37.61999893,15796.5498,0
1998-05-29,1090.819946,2268.129883,8934.55957,39.27999878,15670.78027,0
1998-06-01,1090.97998,2214.97998,8612.009766,38.97999954,15321.03027,0
1998-06-02,1093.219971,2167.870117,8598.169922,37.36000061,15554.4502,0
1998-06-03,1082.72998,2218.02002,8819.219727,38.49000168,15347,0
1998-06-04,1094.829956,2221.110107,8558.429688,38.49000168,15426.46973,0
1998-06-05,1113.859985,2194.100098,8569.469727,39.75,15323.42969,0
1998-06-08,1115.719971,2121.320068,8586.629883,40.09000015,15294.70996,0
1998-06-09,1118.410034,1977.069946,8391.459961,39.09999847,15530.16992,0
1998-06-10,1112.280029,1866.380005,7979.370117,37.25999832,15339.25977,0
1998-06-11,1094.579956,1874.76001,7886.069824,37.84000015,15014.04004,0
1998-06-12,1098.839966,1871.810059,7915.439941,34.56999969,15022.33008,0
1998-06-15,1077.01001,1798.859985,7462.5,33.18999863,14825.16992,0
1998-06-16,1087.589966,1743.540039,7526.450195,32.25999832,14720.37988,0
1998-06-17,1107.109985,1876.890015,8004.350098,35.04000092,14715.37988,0
1998-06-18,1106.369995,2063.090088,8515.969727,37.52999878,15361.54004,0
1998-06-19,1100.650024,2108.899902,8591.910156,35.95999908,15267.98047,0
1998-06-22,1103.209961,1978.540039,8204.209961,35.75999832,15309.08984,0
1998-06-23,1119.48999,1947.5,8219.669922,34.79999924,15054.59961,0
1998-06-24,1132.880005,1972.77002,8296.769531,34.63000107,15123.17969,0
1998-06-25,1129.280029,2025.400024,8665.830078,34.54999924,15132.21973,0
1998-06-26,1133.199951,1994.910034,8607.860352,34.36000061,15210.04004,0
1998-06-29,1138.48999,1896.390015,8460.709961,34.47999954,15365.73047,0
1998-06-30,1133.839966,1873.280029,8543.099609,34.36999893,15830.26953,0
1998-07-01,1148.560059,1873.280029,8543.099609,36.61000061,16362.88965,0
1998-07-02,1146.420044,1963.780029,8866.160156,36.24000168,16471.58008,0
1998-07-03,1146.420044,1893.300049,8639.30957,35.83000183,16511.24023,0
1998-07-06,1157.329956,1854.569946,8484.120117,35.99000168,16350.4502,0
1998-07-07,1154.660034,1836.199951,8444.179688,36.88999939,16416.2793,0
1998-07-08,1166.380005,1868.98999,8629.179688,37.00999832,16530.9707,0
1998-07-09,1158.560059,1850.359985,8433.780273,36.88999939,16446.94922,0
1998-07-10,1164.329956,1827.599976,8205.769531,35.68999863,16090.05957,0
1998-07-13,1165.189941,1753.869995,8099.200195,34.70000076,16360.38965,0
1998-07-14,1177.579956,1738.369995,8178.930176,35.34000015,16488.91016,0
1998-07-15,1174.810059,1766.030029,8456.219727,36.16999817,16614.14063,0
1998-07-16,1183.98999,1782.180054,8586.570313,38.38999939,16731.91992,0
1998-07-17,1186.75,1789.430054,8628.929688,38.38999939,16570.7793,0
1998-07-20,1184.099976,1783.439941,8493.25,42.74000168,16570.7793,0
1998-07-21,1165.069946,1776.189941,8564.549805,42.33000183,16556.68945,0
1998-07-22,1164.079956,1709.449951,8420.719727,41.99000168,16293.05957,0
1998-07-23,1139.75,1578.569946,8176.25,39.41999817,16188.00977,0
1998-07-24,1140.800049,1596.939941,8257.459961,39.77000046,16361.88965,0
1998-07-27,1147.27002,1522.51001,7984.430176,37.93000031,15944.36035,0
1998-07-28,1130.23999,1481.209961,7926.100098,38.70000076,16114.54004,0
1998-07-29,1125.209961,1411.819946,7808.830078,39.81999969,16158.08984,0
1998-07-30,1142.949951,1460.939941,7906.160156,39.88999939,16201.59961,0
1998-07-31,1120.670044,1523.25,7936.200195,39.50999832,16378.96973,0
1998-08-03,1112.439941,1447.949951,7552.77002,37.83000183,16165.08008,0
1998-08-04,1072.119995,1434.400024,7580.799805,38.36000061,16023.58008,0
1998-08-05,1081.430054,1383.819946,7466.430176,37.09999847,15992.16016,0
1998-08-06,1089.630005,1326.02002,7254.359863,36.84000015,15876.21973,0
1998-08-07,1089.449951,1291.319946,7018.410156,36.95000076,15829.16992,0
1998-08-10,1083.140015,1250.550049,7034.620117,35.86999893,15626.41992,0
1998-08-11,1068.97998,1189.839966,6779.950195,35.75999832,15406.99023,0
1998-08-12,1084.219971,1195.619995,6859.47998,35.08000183,15378.96973,0
1998-08-13,1074.910034,1196.310059,6660.419922,34.70000076,15382.01953,0
1998-08-14,1062.75,1239.560059,7224.689941,34.84999847,15123.92969,0
1998-08-17,1083.670044,1239.560059,7224.689941,34.43000031,14794.66016,0
1998-08-18,1101.199951,1160.880005,7210.919922,33.20000076,15063.79004,0
1998-08-19,1098.060059,1198.569946,7622.580078,34.63999939,15406.33984,0
1998-08-20,1091.599976,1274.339966,7742.529785,36.52000046,15391.41016,0
1998-08-21,1081.23999,1237,7527.609863,36.5,15298.2002,0
1998-08-24,1088.140015,1184.23999,7845.47998,34.93999863,14988.36035,0
1998-08-25,1092.849976,1184.329956,7890.089844,35.54000092,15072.92969,0
1998-08-26,1084.189941,1158.359985,7834.399902,36.56999969,14866.03027,0
1998-08-27,1042.589966,1115.369995,7922.970215,36.04000092,14413.79004,0
1998-08-28,1027.140015,1008.679993,7829.740234,35.47999954,13915.62988,0
1998-08-31,957.2800293,1043.550049,7275.040039,35.54999924,14107.88965,0
1998-09-01,994.2600098,1060.829956,7062.470215,35.43000031,14369.62988,0
1998-09-02,990.4799805,1103.72998,7355.669922,36.04000092,14376.62012,0
1998-09-03,982.2600098,1157.75,7318.589844,36.09999847,14261.24023,0
1998-09-04,973.8900146,1312.300049,7488.470215,36.09000015,14042.91016,0
1998-09-07,973.8900146,1478.569946,8076.759766,37.88000107,14790.05957,0
1998-09-08,1023.460022,1479.219971,8189.25,37.5,14913.49023,0
1998-09-09,1006.200012,1427.150024,7905.450195,37.86999893,14755.54004,0
1998-09-10,980.1900024,1462.800049,7849.959961,39.27999878,14666.03027,0
1998-09-11,1009.059998,1388.719971,7578.47998,36.70999908,13916.98047,0
1998-09-14,1029.719971,1460.410034,7661.859863,35.72999954,14227.37012,0
1998-09-15,1037.680054,1547.959961,7733.470215,35.27999878,14227.37012,0
1998-09-16,1045.47998,1664.550049,7860.680176,35.65000153,14197.7002,0
